offset,step,modes,hq,missing_modes
101,150,2,0.0971679688,0 1 3 4 5 7
101,160,0,0.0000000000,0 1 2 3 4 5 6 7
101,170,1,0.0810546875,0 1 2 3 5 6 7
101,180,1,0.0842285156,0 2 3 4 5 6 7
101,190,0,0.0000000000,0 1 2 3 4 5 6 7
101,200,1,0.0764160156,0 1 2 3 5 6 7
101,210,1,0.0073242188,0 1 2 3 4 5 6
101,220,0,0.0000000000,0 1 2 3 4 5 6 7
101,230,0,0.0000000000,0 1 2 3 4 5 6 7
101,240,1,0.0764160156,0 1 2 3 4 5 6
101,250,3,0.1730957031,1 2 3 4 5
101,260,2,0.1145019531,0 1 3 4 5 6
101,270,2,0.1652832031,0 2 3 4 6 7
101,280,1,0.1628417969,0 1 2 3 4 5 6
101,290,1,0.0517578125,0 1 2 3 4 6 7
101,300,1,0.0332031250,0 1 2 3 4 6 7
101,310,4,0.1723632812,0 1 3 4
101,320,3,0.2363281250,0 1 3 4 6
101,330,1,0.0192871094,0 1 2 3 4 5 6
101,340,2,0.0810546875,0 1 3 4 5 7
101,350,4,0.2751464844,0 3 5 7
101,360,4,0.4719238281,0 3 4 6
101,370,4,0.4443359375,0 2 3 4
101,380,4,0.2307128906,2 3 4 5
101,390,5,0.3247070312,3 4 5
101,400,5,0.4052734375,1 3 4
101,410,3,0.0576171875,0 3 4 5 6
101,420,4,0.4028320312,0 3 4 7
101,430,4,0.3410644531,2 3 4 7
101,440,2,0.0856933594,0 2 3 4 5 7
101,450,4,0.1660156250,0 3 4 7
101,460,3,0.1804199219,2 3 5 6 7
101,470,4,0.1940917969,0 3 6 7
101,480,6,0.4555664062,2 3
101,490,4,0.2846679688,0 1 2 3
101,500,2,0.1967773438,0 1 2 3 5 6
101,510,3,0.1362304688,0 1 3 4 5
101,520,6,0.4912109375,3 4
101,530,5,0.5129394531,0 3 4
101,540,6,0.5869140625,3 4
101,550,4,0.3210449219,2 3 4 6
101,560,7,0.5122070312,4
101,570,3,0.2163085938,1 2 3 4 5
101,580,3,0.1132812500,0 4 5 6 7
101,590,6,0.2368164062,0 4
101,600,6,0.4094238281,4 6
101,610,3,0.0905761719,0 3 4 6 7
101,620,2,0.0529785156,0 2 3 4 5 6
101,630,4,0.1027832031,0 3 6 7
101,640,4,0.1948242188,2 3 6 7
101,650,7,0.6533203125,3
101,660,1,0.1574707031,0 1 2 3 4 6 7
101,670,2,0.1254882812,0 1 2 3 4 5
101,680,4,0.2668457031,1 3 6 7
101,690,4,0.3349609375,0 1 2 3
101,700,7,0.6481933594,3
101,710,5,0.6228027344,2 3 4
101,720,1,0.0490722656,0 1 2 3 5 6 7
101,730,3,0.3293457031,1 2 3 4 5
101,740,5,0.4282226562,3 4 6
101,750,2,0.1267089844,0 1 2 3 4 5
101,760,7,0.5007324219,5
101,770,6,0.5551757812,4 5
101,780,5,0.4125976562,0 5 6
101,790,6,0.3007812500,4 5
101,800,4,0.3071289062,3 4 5 7
101,810,6,0.7485351562,4 5
101,820,6,0.5759277344,2 5
101,830,3,0.3212890625,3 4 5 6 7
101,840,5,0.5009765625,5 6 7
101,850,7,0.5012207031,5
101,860,4,0.3146972656,0 5 6 7
101,870,7,0.6699218750,5
101,880,7,0.9384765625,5
101,890,5,0.6093750000,3 4 5
101,900,7,0.5122070312,5
101,910,4,0.3632812500,4 5 6 7
101,920,7,0.9077148438,5
101,930,6,0.8413085938,4 5
101,940,7,0.9265136719,5
101,950,7,0.9968261719,5
101,960,7,0.8823242188,5
101,970,7,1.0000000000,5
101,980,7,0.9858398438,5
101,990,7,0.9604492188,5
101,1000,7,0.9140625000,5
101,1010,7,1.0000000000,5
101,1020,7,0.9992675781,5
101,1030,7,0.9997558594,5
101,1040,7,0.9997558594,5
101,1050,7,1.0000000000,5
101,1060,7,1.0000000000,5
101,1070,7,1.0000000000,5
101,1080,7,1.0000000000,5
101,1090,7,1.0000000000,5
101,1100,7,1.0000000000,5
101,1110,7,1.0000000000,5
101,1120,7,1.0000000000,5
101,1130,7,1.0000000000,5
101,1140,7,1.0000000000,5
101,1150,7,1.0000000000,5
101,1160,7,1.0000000000,5
101,1170,7,1.0000000000,5
101,1180,7,1.0000000000,5
101,1190,7,1.0000000000,5
101,1200,7,1.0000000000,5
