offset,step,modes,hq,missing_modes
505,750,6,0.3630371094,1 3
505,800,3,0.3688964844,0 1 3 6 7
505,850,2,0.1711425781,0 1 2 3 4 5
505,900,6,0.9199218750,1 3
505,950,6,0.8146972656,1 3
505,1000,6,0.9997558594,1 3
505,1050,6,0.9992675781,1 3
505,1100,6,1.0000000000,1 3
505,1150,6,0.9997558594,1 3
505,1200,6,1.0000000000,1 3
606,50,0,0.0000000000,0 1 2 3 4 5 6 7
606,100,1,0.0754394531,0 1 2 3 5 6 7
606,150,0,0.0000000000,0 1 2 3 4 5 6 7
606,200,0,0.0000000000,0 1 2 3 4 5 6 7
606,250,0,0.0000000000,0 1 2 3 4 5 6 7
606,300,3,0.2211914062,0 1 2 5 7
606,350,0,0.0000000000,0 1 2 3 4 5 6 7
606,400,2,0.1003417969,0 1 3 4 5 7
606,450,1,0.0874023438,0 2 3 4 5 6 7
606,500,5,0.3210449219,1 3 4
606,550,3,0.3149414062,2 3 4 5 6
606,600,5,0.6325683594,3 4 5
606,650,3,0.1926269531,0 1 2 4 7
606,700,3,0.1350097656,0 1 2 3 7
606,750,7,0.5974121094,2
606,800,8,0.9394531250,
606,850,8,0.8994140625,
606,900,8,0.9982910156,
606,950,8,0.9924316406,
606,1000,8,1.0000000000,
606,1050,8,0.9982910156,
606,1100,8,0.9997558594,
606,1150,8,1.0000000000,
606,1200,8,1.0000000000,
707,50,0,0.0000000000,0 1 2 3 4 5 6 7
707,100,1,0.0688476562,0 1 2 3 5 6 7
707,150,1,0.0881347656,0 1 2 3 4 5 6
707,200,2,0.0856933594,0 1 2 5 6 7
707,250,3,0.1843261719,0 1 2 4 7
707,300,3,0.0029296875,0 2 4 6 7
707,350,6,0.7192382812,2 7
707,400,5,0.2731933594,0 1 2
707,450,8,0.9973144531,
707,500,8,0.9990234375,
707,550,8,0.8681640625,
707,600,8,1.0000000000,
707,650,5,0.2126464844,5 6 7
707,700,8,0.9101562500,
707,750,8,0.8737792969,
707,800,8,0.9582519531,
707,850,8,1.0000000000,
707,900,8,0.9995117188,
707,950,8,1.0000000000,
707,1000,8,0.9992675781,
707,1050,8,0.9921875000,
707,1100,8,1.0000000000,
707,1150,8,1.0000000000,
707,1200,8,0.9990234375,
