name,step,conditional_sw1,joint_hq,conditional_mode_tv,per_mode_core_ratio,modes,cond_acc,tail_10sigma
gan_atoms,14000,0.577791228890419,0.961181640625,0.29191404581069946,0.6427201413598363,96,0.986328125,0.0191650390625
gan_atoms,28000,0.5959518551826477,0.97802734375,0.3141406178474426,0.41107548207668526,96,0.99365234375,0.0111083984375
gan_atoms,50000,0.5911408960819244,0.9517822265625,0.36356931924819946,0.44879950157290355,82,0.990234375,0.022216796875
gan_atoms,75000,0.806307852268219,0.9598388671875,0.42924314737319946,0.3405719851253532,71,0.9920654296875,0.010009765625
gan_atoms,100000,0.7582518607378006,0.9356689453125,0.42912110686302185,0.73696061504584,73,0.9827880859375,0.0294189453125
gan_mog,14000,0.6017601639032364,0.94140625,0.2822607159614563,1.071736925422398,98,0.9990234375,0.0106201171875
gan_mog,28000,0.4106459692120552,0.946533203125,0.27974608540534973,0.9168094734183859,91,0.9869384765625,0.0101318359375
gan_mog,50000,0.5372310280799866,0.93896484375,0.3461230397224426,0.7913824252358591,84,0.9886474609375,0.0086669921875
gan_mog,75000,0.5286533758044243,0.9361572265625,0.3823486268520355,0.7207295734199829,80,0.9814453125,0.023193359375
gan_mog,100000,0.9099226891994476,0.952392578125,0.5028369426727295,0.5834541210677082,75,0.9764404296875,0.016357421875
ddgan_atoms,14000,0.20804287865757942,0.0491943359375,0.5594580173492432,9.252964466173832,26,0.4407958984375,0.571533203125
ddgan_atoms,28000,0.1570361852645874,0.2235107421875,0.3890429735183716,6.102290160067606,69,0.62353515625,0.3585205078125
ddgan_atoms,50000,0.14336763322353363,0.51513671875,0.2209814339876175,2.9171337475141894,91,0.7874755859375,0.2015380859375
ddgan_atoms,75000,0.11967489868402481,0.6351318359375,0.14155273139476776,1.9824941711700734,100,0.87353515625,0.135009765625
ddgan_atoms,100000,0.12844319269061089,0.77685546875,0.10721679031848907,0.9856945048604089,100,0.9130859375,0.0797119140625
ddgan_mog,14000,0.19212310388684273,0.0545654296875,0.5412988066673279,9.383016331509216,28,0.4595947265625,0.571533203125
ddgan_mog,28000,0.16167092695832253,0.2099609375,0.4081786870956421,6.708138796169773,67,0.603759765625,0.3958740234375
ddgan_mog,50000,0.13819833286106586,0.455078125,0.23261228203773499,2.8940892482556944,100,0.7713623046875,0.21435546875
ddgan_mog,75000,0.12434293888509274,0.6971435546875,0.13514648377895355,1.313209072200757,100,0.874267578125,0.11279296875
ddgan_mog,100000,0.1289781704545021,0.80029296875,0.10645507276058197,0.8960658774241779,100,0.914306640625,0.0777587890625
