num_particles,particle_lr_multiplier,particle_beta1,n_runs,passes,strict_passes,mean_passes,r_eff_flags,raw_std_flags,modes,modes_std,hq,hq_std,hq_ratio,hq_ratio_std,width_ratio,width_ratio_std,kl_balance,kl_balance_std,r_eff,r_eff_std,raw_std_live_ratio,raw_std_live_ratio_std,purity_mean,purity_mean_std,purity_below_09,purity_below_09_std,alloc_empty,alloc_empty_std,d_gap,d_gap_std,bridge,bridge_std,bridge_heuristic,bridge_heuristic_std
100,10.0,0.5,3,0,0,0,0,3,90.0,2.160246899469287,0.2850566666666667,0.019960134156752463,0.28824959388809246,0.020148789666515763,4.284352487900064,0.2175053398174272,0.3557726680114362,0.06651677779651884,0.15394053304529476,0.008606979244091324,2.9450704562143364,0.04799974378802444,0.9851303549473363,0.011235546877237315,5.333333333333333,4.109609335312651,12.0,2.160246899469287,0.2728377679983775,0.022665504012780967,0.7149433333333334,0.019960134156752483,0.0021357076498696764,0.0008753315280521302
400,10.0,0.5,3,0,0,0,3,3,100.0,0.0,0.37594833333333333,0.018788437194780783,0.38016071492241216,0.018965701487760604,3.3729647660007784,0.1568175705792819,0.15626128822427593,0.018980402948477734,4.62968477497855,0.5165098638628473,3.2614488027056274,0.10794908444307313,1.0,0.0,0.0,0.0,0.0,0.0,0.2056377132733663,0.00786133198113206,0.6240516666666668,0.018788437194780794,0.8371739329773304,0.03970626900946205
100,0.1,0.0,3,0,0,0,0,0,93.0,1.4142135623730951,0.15773833333333334,0.007722484847652483,0.15950601638229533,0.007800630905720515,6.10049128558732,0.13467052943701702,0.3709442272078438,0.0026407980928010335,0.12108491241806564,0.005647624011910521,1.0114563716680696,0.0075057513539236904,0.9083159946878613,0.00990249041096341,28.0,4.08248290463863,17.0,0.816496580927726,0.3048129081726074,0.009167896172269565,0.8422616666666668,0.0077224848476524985,0.00012528337347250722,8.401751400322916e-05
100,0.3,0.0,3,0,0,0,0,0,93.0,1.632993161855452,0.18383000000000002,0.017787881174177744,0.18588835709024898,0.017963889413042285,5.7109545076106665,0.2291961456664429,0.3861119022116368,0.019353968671765916,0.1284097356686803,0.004596434810819889,1.0168694956696365,0.010159587593628457,0.903901233699958,0.018635431913512208,27.0,3.559026084010437,15.666666666666666,0.9428090415820634,0.2913448413213094,0.002917418764556437,0.8161700000000001,0.017787881174177716,0.0002621811414369577,0.00010978030220584475
100,10.0,0.0,3,0,0,0,1,3,90.66666666666667,2.0548046676563256,0.28814,0.03887101383636227,0.2913681507738653,0.03929599880125525,4.4002966821513665,0.4483264012634502,0.37678793656903387,0.08320086039614827,0.16423269233338242,0.027698567927141645,2.120812303168426,0.05359876993756944,0.9803325846042247,0.012255099027516867,7.0,4.546060565661952,13.333333333333334,2.494438257849294,0.23104941844940186,0.031549799799019014,0.71186,0.03887101383636228,0.0038272258120222026,0.0025919852462681957
100,1.0,0.0,3,0,0,0,0,0,90.33333333333333,2.494438257849294,0.23902833333333331,0.015883070826791933,0.24170570541405145,0.016031534530109335,5.011205074030652,0.26322231824844244,0.4148216262842632,0.008799588497233404,0.13201024040336728,0.0009042857986080073,1.0954142987633368,0.018880244080221938,0.9309475437929257,0.01622938032260451,21.333333333333332,6.548960901462833,16.0,1.632993161855452,0.3157934745152791,0.021219288904836858,0.7609716666666667,0.015883070826791936,0.0003547887706660676,6.032859081682295e-05
100,3.0,0.0,3,0,0,0,0,0,91.66666666666667,2.0548046676563256,0.25832333333333335,0.005800276334413348,0.2612189569072349,0.005866216402812655,4.734995123398138,0.1232140910925734,0.3606254505774415,0.05549744507165293,0.14856473705434228,0.013444825928440797,1.5736695922422583,0.04037291616430515,0.9632607290070259,0.0037917798366753786,12.333333333333334,0.4714045207910317,12.666666666666666,0.4714045207910317,0.28685665130615234,0.0352618811735539,0.7416766666666668,0.005800276334413323,0.001891228763623815,0.0014016415346747603
400,0.1,0.0,3,0,0,0,0,0,99.66666666666667,0.4714045207910317,0.16692000000000004,0.0008218982094314786,0.16879104381396068,0.000829837623623084,5.219551834119071,0.0024537419298834,0.13601197623816064,0.01440641140067922,0.12076787437293506,0.00139074625825679,1.0092108509835178,0.00020811712925347648,0.9980130139544934,0.00039414944148038973,2.0,0.0,0.3333333333333333,0.4714045207910317,0.2714414795239766,0.01701784294258162,0.8330800000000002,0.0008218982094314915,8.046687900396835e-05,1.04801851729718e-05
400,0.3,0.0,3,0,0,0,0,0,100.0,0.0,0.1715116666666667,0.0022240591019325167,0.17343446757013337,0.0022703765741436373,5.138569742315197,0.12374873726531885,0.13772963923781456,0.025813726866379418,0.12270919127914375,0.0024263916759047263,1.0110082013157327,0.0011039312453611217,0.9994333371860619,0.0003423467824311875,0.3333333333333333,0.4714045207910317,0.0,0.0,0.28481175502141315,0.02696810270329682,0.8284883333333335,0.002224059101932512,0.00010906007111583882,3.7064427401373756e-05
400,10.0,0.0,3,0,0,0,3,3,100.0,0.0,0.37250500000000003,0.005378481818010248,0.3766797818301349,0.005387766570790143,3.4512511499333827,0.11708207005053689,0.13829221022916338,0.019896643015880854,4.535687146886091,0.43050251141556756,2.5785795081253835,0.03209923684666809,0.9999268140203927,5.282187217978037e-05,0.0,0.0,0.0,0.0,0.18037054439385733,0.005949256550310144,0.627495,0.005378481818010248,0.7946729994227936,0.03728891785130368
