arm,batch_size,z_dim,num_particles,lr,d_lr_mult,loss_type,gan_mode,reg_arm,reg_coeff,reg_every,reg_method,lr_anneal_start,lr_floor,beta1,epochs,steps_per_epoch,lambda_ep,ema_decay,fourier,log_interval,snapshot_interval,seed,prior_kind,sigma_rel,standardize,particle_lr_multiplier,particle_beta1,mog_metrics,reg_fd_eps,reg_sync_stats,fused_adam,final_samples,save_checkpoint,out_dir,modes,hq,bridge,kl_balance,share_min,share_max,width,width_audited_modes,modes_real,hq_real,bridge_real,kl_balance_real,share_min_real,share_max_real,width_real,width_audited_modes_real,modes_ratio,hq_ratio,bridge_ratio,width_ratio,kl_balance_ratio,share_min_ratio,share_max_ratio,d_med,r_eff,k_nbrs,raw_std,sigma,d0,bridge_heuristic,raw_std_ratio,r_eff_drift_flag,raw_std_drift_flag,purity_mean,purity_below_09,components_no_hq,components_unsampled,alloc_empty,bridge_i_mean,deterministic_modes,deterministic_hq,deterministic_bridge,deterministic_kl_balance,deterministic_share_min,deterministic_share_max,deterministic_width,deterministic_width_audited_modes,passed,t_cover,d_gap,raw_std_live,raw_std_live_ratio,git_sha,train_seconds,total_seconds
C0,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C0_s1,100,0.9901050000000001,0.009895000000000001,0.03750414025263102,0.4701521555794588,1.7927391539281186,0.791567333062366,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0012742138555588,0.8870461676378305,0.7909158604586308,142.2385801819415,0.49829325646727746,1.7078431104682565,0.135827220507587,0.0,1.9454,1.0951504707336426,0.0,0.19913558661937714,0.0,1.093077448710021,False,False,1.0,0,206,1,0,0.01025051252562628,100,0.98975,0.01025,0.036844307865043904,0.4647638292498106,1.7984339479666582,0.7924876391620682,100,False,5500,0.05372397601604462,1.0949616432189941,1.092888978628992,5db6d3a5432f8f7014588dd5f6926d00dde971e6,57.16259175783489,70.82637669399264
C0,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C0_s2,100,0.9880450000000001,0.011955,0.033768833806693536,0.5313523169491268,1.6871701187698942,0.8954996437547703,100,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,1.0,0.9992465538688701,1.0664585191793041,0.8965422126955629,107.26130604176186,0.5643349704362267,1.5880599159814217,0.1328077430527249,0.0,1.898,1.092586636543274,0.0,0.19655828177928925,0.0,1.096602383688034,False,False,1.0,0,244,1,0,0.012150607530376518,100,0.98785,0.012150000000000001,0.03361293644056812,0.5263957078503821,1.6500480842233132,0.8921418095954426,100,False,5500,0.07592460513114929,1.0924586057662964,1.0964738823403852,5db6d3a5432f8f7014588dd5f6926d00dde971e6,56.698668587981956,70.06978357600747
C0,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C0_s3,100,0.987955,0.012045,0.033067873876208506,0.4964801028386921,1.732366352718494,0.8419085801151855,100,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,1.0,0.9988322835680561,1.106060606060606,0.8428418503108628,171.77348095891415,0.5180099520240282,1.6491827556663998,0.13370302353370686,0.0,1.8958,1.0953878164291382,0.0,0.19743241369724274,0.0,1.098619656235806,False,False,1.0,0,238,0,0,0.0119,100,0.9881000000000001,0.0119,0.03303069201089956,0.49084100799514213,1.766015585467058,0.8454847054486975,100,False,5500,0.07209764420986176,1.0952084064483643,1.098439716922581,5db6d3a5432f8f7014588dd5f6926d00dde971e6,56.41519821420661,69.7951069889823
C1,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,fresh_gaussian,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C1_s1,100,0.064095,0.9359050000000001,0.4259665834535398,0.21062485373274045,3.627428036508308,10.151110691219307,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.06481804529526872,83.90004482294934,10.142756164400687,1615.525156082828,0.2232318686916953,3.4556493995771267,,,,,,,,,False,False,,,,,,,,,,,,,,,False,,0.36131206154823303,,,5db6d3a5432f8f7014588dd5f6926d00dde971e6,50.73974060890032,59.666332866007
C1,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,fresh_gaussian,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C1_s2,99,0.05670000000000001,0.9433,0.4011900589151278,0.0,3.959435626102293,10.170240270372231,100,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.99,0.057342812932978694,84.14808206958072,10.182080784994692,1274.31613234089,0.0,3.726844695605603,,,,,,,,,False,False,,,,,,,,,,,,,,,False,,0.3975752592086792,,,5db6d3a5432f8f7014588dd5f6926d00dde971e6,49.88532043993473,58.796575243002735
C1,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,fresh_gaussian,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C1_s3,100,0.059250000000000004,0.9407500000000001,0.3573534365247046,0.21940928270042193,3.0717299578059074,10.231312074239199,100,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,1.0,0.059902336443873785,86.38659320477502,10.24265366030577,1856.2984712676973,0.2289239616158379,2.924233704105294,,,,,,,,,False,False,,,,,,,,,,,,,,,False,,0.3542737066745758,,,5db6d3a5432f8f7014588dd5f6926d00dde971e6,50.463233637739904,59.32893556999625
