variant,arm,coeff,n_seeds,w1_exact_mean,w1_exact_std,w1_exact_median,w2_exact_mean,w2_exact_std,w1_sliced_mean,mode_recall_mean,mode_recall_std,modes_mean,hq_mean,hist_kl_mean,hist_js_mean,nll_mean,nll_std,collapse_rate,collapse_events_mean,steps_to_thresh_mean,steps_to_thresh_std,steps_to_thresh_censored,dominant_modulus_mean,dominant_modulus_std,dominant_modulus_max,w1_windowed_std_mean,dloss_fft_peak_mean,med_nr_mid_mean,med_nf_mid_mean,wall_clock_mean
main,a_r1r2,1.0,5,0.18340810315748157,0.021677049817257963,0.17385046374259955,0.3624689094523901,0.02983108721339053,0.03391317389905453,1.0,0.0,100.0,0.5977599859237671,0.0049967659012784445,0.0012550607819290058,14.831781305111715,0.7173797612499577,0.0,0.0,5900.0,1376.9531582446805,3,1.000106249543866,1.9823460322678192e-05,1.0001428267761072,0.00035797667709831733,0.22888045220951056,0.044603777676820756,0.07791717201471329,110.6222005367279
main,a_r1r2,0.3,5,0.22943634503488078,0.04315044598313702,0.20676915679862742,0.4708064383814622,0.05480427188621621,0.10880192071199417,1.0,0.0,100.0,0.8678999781608582,0.011986020214201601,0.003029789919855536,7.818071553709797,1.253092213613307,0.0,0.0,7000.0,0.0,5,1.0001470864116992,3.517890776828709e-05,1.0001873434811366,0.00023127123712126537,0.6003446462989833,0.09482545554637908,0.17347773611545564,142.87054052352906
main,a_r1r2,0.1,5,0.3380690708941611,0.04946415375392383,0.36473615234192974,0.6076997254568237,0.056545381988165264,0.18011535704135895,0.984,0.01019803902718558,100.0,0.9429299831390381,0.03364985855115282,0.00860089098925453,11.402818830337347,2.9887194197812827,0.0,0.0,7000.0,0.0,5,1.0003121187484858,9.31680297310338e-05,1.0004444512786324,0.00016449908427151107,1.9177588313966347,0.1859305739402771,0.3118939459323883,110.34858536720276
main,b_cap,1.0,5,0.3675136923773799,0.02823429023580578,0.3673030746800312,0.658132331442085,0.028495285688718095,0.17965243458747865,0.9759999999999998,0.00489897948556636,100.0,0.9666899800300598,0.03926793441375699,0.009941546752591563,27.020707053917334,7.591116731460393,0.0,0.0,7000.0,0.0,5,1.0007404840289484,0.00026318377892971874,1.0010836683928959,0.00028466494736327806,39.362318735053066,0.6747527837753295,0.8216492891311645,107.75018343925476
main,d_asym,1.0,5,0.41392003319404297,0.03042471843625653,0.4154737556989876,0.7201168981084607,0.03874674938758756,0.16960695385932922,0.966,0.013564659966250522,100.0,0.9620099782943725,0.043797453765901315,0.011159817613388984,60.983859679782334,17.524847063782094,0.0,0.0,7000.0,0.0,5,1.0010168240913206,0.00025195898839147537,1.0014489423273905,0.00022629489613132365,86.51671687270422,0.9382559776306152,0.9580384254455566,104.49743766784668
main,b_cap,0.1,5,0.39444466245467674,0.04620904217382267,0.42688880986871885,0.7016699858982952,0.054705781662417956,0.1860271453857422,0.9540000000000001,0.016248076809271893,100.0,0.949839985370636,0.04705167972596582,0.012041781028859277,62.06350127944912,20.938741715530362,0.0,0.0,7000.0,0.0,5,1.000636967770642,0.00014975319600569667,1.0007988266427215,0.00021636072131638569,39.602290813185185,0.8780192255973815,1.162613582611084,107.1399658203125
main,c_eikonal,0.1,5,0.4521941447937988,0.0659160460567725,0.44734285915536975,0.7626413103536306,0.061796970987767756,0.22189036905765533,0.952,0.026381811916545816,100.0,0.9617999792098999,0.05416716305772481,0.013896077238484347,72.68464778455557,13.01490765177572,0.0,0.0,7000.0,0.0,5,1.0008884010704964,0.0001713976232437565,1.0011484263113863,0.0003730695134543136,72.6088127010111,1.037118172645569,1.2012516498565673,101.62300720214844
main,e_interp,1.0,5,0.4564091441415413,0.06754078828168879,0.4546904197121423,0.7922857417630869,0.06845377933681251,0.2010116308927536,0.96,0.010954451150103291,100.0,0.9543499827384949,0.048669770111904244,0.012355670910686354,110.58437076851101,28.02474358010688,0.0,0.0,7000.0,0.0,5,1.0006300326041613,0.00013732868973257684,1.0008299494784132,0.0003584121781518331,112.49325162155893,0.9717347264289856,1.0578953504562378,113.42303676605225
main,d_asym,0.1,5,0.45805797899463274,0.1048665231408353,0.4564211493666224,0.7722557574766498,0.09665500975607612,0.21862274706363677,0.9640000000000001,0.014966629547095742,100.0,0.9550399661064148,0.043072556034565807,0.011007891822882558,83.23557545493009,22.280593519218105,0.0,0.0,7000.0,0.0,5,1.0007506273602473,0.00019472895954471817,1.0009927880515417,0.0009684333768858551,46.3839082302221,0.908060348033905,1.0957704782485962,106.13051686286926
main,e_interp,0.1,5,0.46521571481864726,0.04378309499446036,0.47072320540655144,0.8125337500092824,0.04475827184655083,0.22281093299388885,0.952,0.02315167380558042,100.0,0.933899974822998,0.04570025911080393,0.011738642439598315,135.69113263263986,19.780430700066123,0.0,0.0,7000.0,0.0,5,1.0005813709038267,9.742988887484315e-05,1.0006818233475587,0.0005068757288831675,132.40593437039078,2.0308229684829713,1.7970824003219605,98.30082855224609
main,c_eikonal,1.0,5,0.456955019633955,0.07843613569273075,0.47147226213184257,0.7619973066586657,0.08107548510531125,0.22457002997398376,0.9480000000000001,0.026381811916545806,100.0,0.9582899689674378,0.06084137279008741,0.015531547779723445,59.63487826266612,29.563922782115043,0.0,0.0,7000.0,0.0,5,1.0015784493296795,0.0010184871183439026,1.0034033943906715,0.000582460496004087,76.6360391544751,0.9930982947349548,1.0158370733261108,99.98683242797851
main,e_interp,0.02,5,0.5010482332721802,0.07228481923475458,0.5072405709466734,0.8878305593176549,0.04807078705318417,0.24422906041145326,0.9540000000000001,0.018547236990991374,100.0,0.8768099784851074,0.04585053636507206,0.011837114317625857,234.29877122899765,26.659286828279235,0.0,0.0,7000.0,0.0,5,1.0011059809357474,0.0002205514858767558,1.0014409447957335,0.0007312128329351754,646.0452882630976,5.545205593109131,4.181753444671631,85.82999815940858
main,a_r1r2,0.02,5,0.6305067021490598,0.15077537957124879,0.5637598420461888,0.8896289596094029,0.11975711057110087,0.3418022245168686,0.858,0.058103356185335804,98.2,0.9401899814605713,0.12031787663045752,0.03329111736040786,50.465302699277224,23.143970859789988,0.0,0.0,7000.0,0.0,5,1.0007592827969716,0.0002513152526301266,1.0011495641081551,0.00019280183265797232,36.28374240708478,0.5590781152248383,1.0275137662887572,107.54407835006714
main,b_cap,0.02,5,0.5764363028900819,0.07212871330971989,0.5652764548145722,0.8979522573903452,0.060442359796533604,0.3156918525695801,0.9339999999999999,0.0332264954516723,100.0,0.9238699674606323,0.059650440353974654,0.015339241822284338,130.53541771854125,13.711760129019282,0.0,0.0,7000.0,0.0,5,1.000786606055302,0.00017165889287411496,1.0010902558284194,0.00046353771225711047,23.505242669767874,1.237482476234436,1.6359339475631713,109.79886107444763
main,e_interp,0.005,5,0.6187363759795905,0.046785664423415065,0.6146256438499723,1.0218439737037888,0.034042569051003446,0.31471934616565705,0.9400000000000001,0.023664319132398446,100.0,0.8147099733352661,0.06079581347105424,0.015378173720534368,342.1929165257208,55.058554680972335,0.0,0.0,7000.0,0.0,5,1.0019157408856423,0.00030346801412390126,1.0024081419374202,0.0006425395535455492,2277.7698619776734,11.860395050048828,8.656792068481446,86.50342597961426
main,d_asym,0.02,5,1.1244768988926146,1.1317832532377277,0.6259265857625723,1.5004438445603245,1.2091028508902935,0.648547837138176,0.8019999999999999,0.27730128019899225,85.0,0.924839973449707,0.35606995276948145,0.09168985249783099,155.58329387122743,21.00045114657913,0.0,0.0,7000.0,0.0,5,1.0007778349269139,0.00022338168104887093,1.001134251866396,0.0005328267788278597,23.347168120396912,1.2173978805541992,1.5560741901397706,104.5074692249298
main,c_eikonal,0.02,5,0.7474469442404932,0.16919351255347945,0.746678871787604,1.0577910846031453,0.14323536926089112,0.41912925243377686,0.892,0.0503587132480567,99.8,0.9234999775886535,0.08234738442603964,0.021596460296374673,153.47528640740092,29.40411471631805,0.0,0.0,7000.0,0.0,5,1.0008983934361155,0.00021281723079319013,1.0012611954366393,0.0006011674243969854,34.39471081472561,1.3068178176879883,1.6258923768997193,102.71812825202942
main,a_r1r2,0.005,5,1.48856330060908,1.0045066355094765,0.8947341805592608,1.873846442686886,1.0689741827103476,0.8497659921646118,0.7120000000000001,0.25623426780975256,82.6,0.887939989566803,0.4602853578516588,0.11759878952216234,249.2415481939057,59.533576878015595,0.0,0.0,7000.0,0.0,5,1.0010708936693504,0.0002760377750819944,1.0014598892585347,0.0004227581777941561,7.468701590675648,1.3355708241462707,1.901077389717102,106.76452918052674
main,c_eikonal,0.005,5,1.2968225659297035,0.505995274575819,1.14449172111074,1.7217824110650473,0.5684978084578051,0.7565030753612518,0.744,0.1751113931187803,83.6,0.8739399790763855,0.3816722946493332,0.10206369647182671,316.60452957364,29.881793271912986,0.0,0.0,7000.0,0.0,5,1.001353478563405,0.0003216981668790152,1.0018204615926143,0.0004968161219108241,19.717727741559536,2.173892545700073,3.030521011352539,104.35660705566406
