offset,step,support_modes,max_particle_dist,logit_gap,paired_margin,grad_ratio_d_over_g
0,546,3,1.3660,-0.0020,0.1928,4.106
0,551,4,1.9882,0.0004,0.2092,1.653
0,556,6,1.6403,0.0112,0.2388,3.667
0,561,8,1.7407,0.0086,0.2261,3.535
0,566,8,1.6554,0.0059,0.1769,3.720
0,571,5,1.0644,-0.0050,0.1326,5.176
0,576,3,0.8428,0.0001,0.1157,4.809
0,581,3,0.4812,0.0070,0.1165,4.780
0,586,7,0.3455,0.0011,0.1338,12.627
0,591,8,0.3260,0.0093,0.2089,4.564
0,596,8,0.1851,0.0011,0.1680,10.571
0,601,8,0.1420,0.0002,0.2149,13.376
0,606,5,0.9634,0.0014,0.0686,13.867
0,611,7,0.9482,0.0069,0.1758,9.523
0,616,7,0.3507,0.0020,0.2534,2.425
0,621,8,0.2559,0.0004,0.1458,11.624
0,626,8,0.1460,0.0024,0.1845,8.958
0,631,8,0.2701,-0.0022,0.1455,6.396
0,636,6,0.4186,0.0004,0.1869,4.188
0,641,8,0.2411,-0.0008,0.1963,6.693
0,646,8,0.1681,0.0001,0.1132,9.559
0,651,8,0.2168,-0.0028,0.1173,8.272
0,656,8,0.1740,0.0024,0.1332,8.067
0,661,8,0.1267,0.0062,0.2121,6.668
0,666,8,0.3137,-0.0002,0.1530,11.362
0,671,8,0.2101,0.0056,0.2047,6.230
0,676,8,0.1938,0.0001,0.1905,10.257
0,681,8,0.1771,0.0022,0.1481,7.203
0,686,8,0.2377,-0.0043,0.1024,8.900
0,691,8,0.2269,0.0005,0.0672,7.793
0,696,8,0.1950,-0.0001,0.2319,13.958
0,701,1,0.6206,-0.0055,0.1659,2.850
0,706,1,1.3563,-0.0399,0.1464,2.440
0,711,6,0.8584,0.0018,0.1195,3.160
0,716,7,0.3398,0.0041,0.1605,9.864
0,721,5,0.3778,0.0033,0.1850,12.684
0,726,8,0.1624,0.0020,0.1530,1.451
0,731,7,0.4041,0.0019,0.0378,8.911
0,736,6,0.9768,0.0014,0.1235,11.586
0,741,6,1.1612,0.1290,0.1793,8.295
0,746,4,1.7192,0.1580,0.2737,5.587
0,751,0,1.7128,0.6239,0.0845,50.607
0,756,1,2.3076,0.0149,0.1060,7.015
0,761,4,1.8526,-0.0008,0.1850,3.179
0,766,4,1.9152,0.1777,0.3125,4.498
0,771,0,2.7709,0.7351,0.4256,4.154
0,776,1,1.8321,0.3155,0.1245,13.442
0,781,2,1.4939,0.4023,0.1504,2.666
0,786,2,2.3784,0.2258,0.1582,5.886
0,791,3,2.2646,1.0249,0.2101,3.924
0,796,2,2.3710,0.6307,0.1198,4.929
0,801,1,2.1690,0.6687,0.2725,19.819
0,806,3,1.4725,0.0819,0.0691,3.557
0,811,2,1.2283,0.0066,0.0167,9.232
0,816,5,0.9631,0.1175,0.1247,3.886
0,821,4,0.8627,0.2324,0.0737,6.514
0,826,4,0.8458,0.0195,0.1150,2.067
0,831,5,0.9171,0.0040,0.1054,5.172
0,836,4,1.1072,-0.0009,0.0588,2.940
0,841,5,0.8283,0.0010,0.0934,6.239
0,846,4,0.5535,0.0417,0.0839,5.651
0,851,5,1.0003,0.0108,0.2699,4.236
0,856,8,0.1891,0.0034,0.1626,4.589
0,861,8,0.3580,0.0004,0.0947,6.045
0,866,1,1.2027,0.0010,0.2361,4.206
0,871,8,0.5434,0.0006,0.1259,5.222
0,876,5,1.0081,0.0044,0.1412,9.721
0,881,5,0.8825,0.0040,0.1799,2.040
0,886,8,0.6235,-0.0001,0.1678,5.509
0,891,8,0.2283,-0.0016,0.0586,8.522
0,896,8,0.3469,-0.0002,0.0875,4.772
0,901,8,0.2221,0.0022,0.1836,9.062
0,906,8,0.4736,0.0015,0.1588,9.577
0,911,8,0.2618,-0.0013,0.1311,9.122
0,916,8,0.5146,0.0014,0.1544,12.577
0,921,7,0.3061,-0.0002,0.1599,3.032
0,926,6,0.7323,0.0052,0.2572,4.003
0,931,6,0.4208,0.0006,0.1423,3.655
0,936,3,0.9261,0.0086,0.2205,3.409
0,941,8,0.4293,0.0031,0.1347,5.648
0,946,8,0.2413,0.0044,0.1798,8.558
0,951,8,0.3643,-0.0026,0.2345,16.964
0,956,8,0.3051,-0.0012,0.1832,9.375
0,961,8,0.1871,0.0006,0.1160,6.988
0,966,8,0.1935,0.0012,0.1729,15.259
0,971,8,0.2190,0.0051,0.1856,7.618
